          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
      -2250.00      -1000.00          0.00         45.23         37.21         44.78         46.74
      -2250.00       -875.00          0.00         45.24         37.50         45.07         47.06
      -2250.00       -750.00          0.00         45.20         37.76         45.37         47.36
      -2250.00       -625.00          0.00         45.10         37.99         45.67         47.61
      -2250.00       -500.00          0.00         44.98         38.18         45.95         47.83
      -2250.00       -375.00          0.00         44.86         38.34         46.16         48.00
      -2250.00       -250.00          0.00         44.68         38.45         46.36         48.13
      -2250.00       -125.00          0.00         44.45         38.52         46.50         48.20
      -2250.00          0.00          0.00         44.29         38.54         46.46         48.23
      -2250.00        125.00          0.00         44.45         38.52         46.50         48.20
      -2250.00        250.00          0.00         44.68         38.45         46.36         48.13
      -2250.00        375.00          0.00         44.86         38.34         46.16         48.00
      -2250.00        500.00          0.00         44.98         38.18         45.95         47.83
      -2250.00        625.00          0.00         45.10         37.99         45.67         47.61
      -2250.00        750.00          0.00         45.20         37.76         45.37         47.36
      -2250.00        875.00          0.00         45.24         37.50         45.07         47.06
      -2250.00       1000.00          0.00         45.23         37.21         44.78         46.74
      -2250.00       1125.00          0.00         45.19         36.89         44.50         46.39
      -2250.00       1250.00          0.00         45.05         36.55         44.20         46.01
      -2250.00       1375.00          0.00         44.83         36.19         43.89         45.61
      -2250.00       1500.00          0.00         44.61         35.82         43.58         45.19
      -2250.00       1625.00          0.00         44.38         35.43         43.27         44.76
      -2250.00       1750.00          0.00         44.14         35.04         42.95         44.32
      -2250.00       1875.00          0.00         43.91         34.63         42.63         43.87
      -2250.00       2000.00          0.00         43.63         34.23         42.06         43.42
      -2250.00       2125.00          0.00         43.35         33.80         41.45         42.90
      -2250.00       2250.00          0.00         43.06         33.36         40.87         42.33
      -2250.00       2375.00          0.00         42.78         32.91         40.31         41.76
      -2250.00       2500.00          0.00         42.51         32.47         39.77         41.19
      -2250.00       2625.00          0.00         42.23         32.03         39.26         40.63
      -2250.00       2750.00          0.00         41.96         31.59         38.76         40.07
      -2250.00       2875.00          0.00         41.70         31.16         38.28         39.51
      -2250.00       3000.00          0.00         41.43         30.73         37.82         38.96
      -2125.00      -3000.00          0.00         41.71         31.05         38.17         39.37
      -2125.00      -2875.00          0.00         41.99         31.50         38.64         39.94
      -2125.00      -2750.00          0.00         42.26         31.95         39.13         40.52
      -2125.00      -2625.00          0.00         42.54         32.40         39.63         41.11
      -2125.00      -2500.00          0.00         42.83         32.87         40.15         41.70
      -2125.00      -2375.00          0.00         43.12         33.33         40.69         42.30
      -2125.00      -2250.00          0.00         43.41         33.80         41.26         42.90
      -2125.00      -2125.00          0.00         43.70         34.25         41.85         43.45
