          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
     104312.00     484845.00          0.00          0.00         18.91          0.00         21.43
     104312.00     484970.00          0.00          0.00         18.66          0.00         21.07
     104312.00     485095.00          0.00          0.00         18.40          0.00         20.71
     104312.00     485220.00          0.00          0.00         18.15          0.00         20.35
     104312.00     485345.00          0.00          0.00         17.90          0.00         20.00
     104312.00     485470.00          0.00          0.00         17.66          0.00         19.65
     104437.00     475470.00          0.00         11.01         31.95          8.38         39.43
     104437.00     475595.00          0.00         11.33         32.19          8.87         39.73
     104437.00     475720.00          0.00         11.64         32.42          9.37         40.02
     104437.00     475845.00          0.00         11.95         32.63          9.90         40.29
     104437.00     475970.00          0.00         12.25         32.84         10.44         40.54
     104437.00     476095.00          0.00         12.54         33.04         11.00         40.79
     104437.00     476220.00          0.00         12.82         33.22         11.59         41.01
     104437.00     476345.00          0.00         13.04         33.39         11.89         41.22
     104437.00     476470.00          0.00         13.24         33.54         12.15         41.41
     104437.00     476595.00          0.00         13.43         33.68         12.40         41.58
     104437.00     476720.00          0.00         13.59         33.80         12.63         41.72
     104437.00     476845.00          0.00         13.74         33.90         12.85         41.85
     104437.00     476970.00          0.00         13.83         33.98         13.05         41.95
     104437.00     477095.00          0.00         13.78         34.05         13.22         42.04
     104437.00     477220.00          0.00         13.67         34.09         13.40         42.09
     104437.00     477345.00          0.00         13.50         34.12         13.57         42.13
     104437.00     477470.00          0.00         13.26         34.13         13.74         42.14
     104437.00     477595.00          0.00         12.95         34.12         13.91         42.12
     104437.00     477720.00          0.00         12.67         34.09         14.00         42.08
     104437.00     477845.00          0.00         12.27         34.04         14.09         42.02
     104437.00     477970.00          0.00         11.56         33.97         14.33         41.94
     104437.00     478095.00          0.00         10.60         33.88         13.32         41.83
     104437.00     478220.00          0.00         10.15         33.77         12.92         41.70
     104437.00     478345.00          0.00         10.88         33.65         14.18         41.54
     104437.00     478470.00          0.00         11.54         33.51         13.60         41.37
     104437.00     478595.00          0.00         11.78         33.35         13.28         41.18
     104437.00     478720.00          0.00         11.89         33.18         12.98         40.97
     104437.00     478845.00          0.00         11.98         33.00         12.65         40.74
     104437.00     478970.00          0.00         12.06         32.80         12.27         40.49
     104437.00     479095.00          0.00         12.08         32.59         11.91         40.23
     104437.00     479220.00          0.00         12.04         32.37         11.55         39.96
     104437.00     479345.00          0.00         11.96         32.14         11.21         39.67
     104437.00     479470.00          0.00         11.79         31.90         10.86         39.37
     104437.00     479595.00          0.00         11.52         31.65         10.51         39.06
     104437.00     479720.00          0.00         11.24         31.39         10.15         38.74
     104437.00     479845.00          0.00         10.95         31.12          9.78         38.41
     104437.00     479970.00          0.00         10.66         30.85          9.42         38.08
     104437.00     480095.00          0.00         10.36         30.58          9.06         37.74
     104437.00     480220.00          0.00         10.02         30.30          8.44         37.39
     104437.00     480345.00          0.00          9.67         30.01          7.76         37.03
     104437.00     480470.00          0.00          9.31         29.69          7.10         36.59
     104437.00     480595.00          0.00          8.96         29.37          6.47         36.14
     104437.00     480720.00          0.00          8.61         29.05          5.86         35.69
     104437.00     480845.00          0.00          8.25         28.73          5.28         35.24
     104437.00     480970.00          0.00          7.90         28.40          4.71         34.78
     104437.00     481095.00          0.00          7.56         28.07          4.16         34.32
