NPD_ID   MET    OP     THR   200   400   630  1000  2000  4000  6300 10000 16000 25000  C
2R2800     E     D     100 112.9 108.3 105.2 101.5  95.8  88.9  83.3  77.2  71.1  64.0  P
2R2800     M     A      30  92.6  86.1  81.7  77.0  69.5  61.3  55.5  49.6  43.4  36.6  P
2R2800     M     A     100 103.5  97.2  92.9  88.4  81.3  73.6  68.0  61.9  55.3  47.9  P
2R2800     M     D      30  92.6  86.1  81.7  77.0  69.5  61.3  55.5  49.6  43.4  36.6  P
2R2800     M     D     100 103.5  97.2  92.9  88.4  81.3  73.6  68.0  61.9  55.3  47.9  P
2R2800     S     A      30  96.9  92.7  89.7  86.5  81.3  75.3  71.0  66.6  61.9  56.6  P
2R2800     S     A     100 107.5 103.0  99.9  96.6  91.3  85.4  81.0  76.2  70.7  64.5  P
2R2800     S     D      30  96.9  92.7  89.7  86.5  81.3  75.3  71.0  66.6  61.9  56.6  P
2R2800     S     D     100 107.5 103.0  99.9  96.6  91.3  85.4  81.0  76.2  70.7  64.5  P
3JT8D      E     A    3000 109.0 104.4 100.7  96.4  89.0  80.6  75.0  68.4  61.0  51.4  J
3JT8D      E     A    6000 112.3 107.8 104.1  99.9  93.0  85.0  79.3  73.0  65.3  56.1  J
3JT8D      E     D    8000 114.9 110.4 106.7 102.9  96.0  88.2  82.6  76.7  69.6  61.3  J
3JT8D      E     D   10000 117.7 113.5 110.0 106.3 100.0  92.8  87.9  82.3  75.8  68.1  J
3JT8D      E     D   12000 121.3 117.2 114.0 110.6 104.8  98.1  93.8  88.5  82.5  75.5  J
3JT8D      E     D   14000 125.9 121.9 119.1 115.0 110.0 103.7  99.3  94.9  89.5  83.1  J
3JT8D      M     A    3000 104.6  96.6  90.6  84.3  75.8  66.5  60.0  53.0  44.8  36.4  J
3JT8D      M     A    6000 107.4  98.9  93.5  87.8  79.2  70.5  63.9  57.1  49.1  40.5  J
